LAPTOP SALES INTELLIGENCE – INSAMLAD DATA
==========================================

Källa: https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops
Insamlad: 2026-09-18T11:56:57.157Z
Antal produkter: 117

VIKTIG INFORMATION
------------------
Webbsidan är en testsajt för scraping.
Resultatet används som teknisk försäljnings- och dataövning.
Antalet recensioner används som efterfrågesignal och är inte bevisad försäljning.

PRISANALYS
----------
Genomsnittspris: $909.39
Medianpris: $1102.66
Budgetprodukter under $500: 38
Mellansegment $500–$1000: 14
Premiumprodukter över $1000: 65

STÖRSTA VARUMÄRKENA I SORTIMENTET
---------------------------------
1. Acer: 25 produkter
2. Lenovo: 20 produkter
3. Dell: 20 produkter
4. Asus: 19 produkter
5. MSI: 7 produkter
6. ThinkPad: 5 produkter
7. Toshiba: 5 produkter
8. Hewlett: 3 produkter
9. Apple: 3 produkter
10. Prestigio: 2 produkter

PRODUKTER MED FLEST RECENSIONER
-------------------------------
1. Asus VivoBook X441NA-GA190 – 14 recensioner – $295.99
2. Acer Aspire ES1-732 Black – 14 recensioner – $410.46
3. Dell Vostro 15 – 14 recensioner – $488.78
4. Lenovo ThinkPad L460 – 14 recensioner – $1096.02
5. Dell Latitude 5480 – 14 recensioner – $1133.82
6. Acer Nitro 5 AN515-51 – 14 recensioner – $1140.62
7. Acer Predator Helios 300 (PH317-51) – 14 recensioner – $1187.98
8. Asus ZenBook UX530UX-FY040T Blue – 14 recensioner – $1239.20
9. HP 250 G3 – 13 recensioner – $520.99
10. ThinkPad Yoga – 13 recensioner – $1033.99

ALL INSAMLAD DATA
-----------------
Produkt	Varumärke	Pris USD	Prissegment	Betyg	Recensioner	Beskrivning	Produktlänk
MSI GL62VR 7RFX	MSI	1299.00	Premium	3	1	MSI GL62VR 7RFX, 15.6" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/135
Dell Latitude 5480	Dell	1310.39	Premium	3	8	Dell Latitude 5480, 14" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/136
ThinkPad X240	ThinkPad	1311.99	Premium	3	12	12.5", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit	https://webscraper.io/test-sites/e-commerce/allinone/product/35
Hewlett Packard ProBook 640 G3	Hewlett	1326.83	Premium	1	2	Hewlett Packard ProBook 640 G3, 14" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/137
Apple MacBook Pro 13" Space Gray	Apple	1333.00	Premium	1	0	Apple MacBook Pro 13" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG	https://webscraper.io/test-sites/e-commerce/allinone/product/138
Dell Latitude 5580	Dell	1337.28	Premium	1	6	Dell Latitude 5580, 15.6" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/139
Dell Latitude 5480	Dell	1338.37	Premium	2	11	Dell Latitude 5480, 14" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/140
Dell Latitude 5580	Dell	1341.22	Premium	3	3	Dell Latitude 5580, 15.6" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/141
Apple MacBook Air 13"	Apple	1347.78	Premium	2	11	Apple MacBook Air 13", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS	https://webscraper.io/test-sites/e-commerce/allinone/product/142
Lenovo ThinkPad T470	Lenovo	1349.23	Premium	1	5	Lenovo ThinkPad T470, 14" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/143
Lenovo ThinkPad Yoga 370 Black	Lenovo	1362.24	Premium	2	12	Lenovo ThinkPad Yoga 370 Black, 13.3" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/144
Toshiba Portege X20W-D-10V Black/Blue	Toshiba	1366.32	Premium	1	11	Toshiba Portege X20W-D-10V Black/Blue, 12.5" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/145
Asus ASUSPRO B9440UA-GV0279R Gray	Asus	1381.13	Premium	1	4	Asus ASUSPRO B9440UA-GV0279R Gray, 14" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/146
Lenovo Legion Y720	Lenovo	1399.00	Premium	3	8	Lenovo Legion Y720, 15.6" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard	https://webscraper.io/test-sites/e-commerce/allinone/product/56
Asus ROG Strix GL702VM-GC146T	Asus	1399.00	Premium	3	10	Asus ROG Strix GL702VM-GC146T, 17.3" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/147
Asus ROG Strix GL702ZC-GC154T	Asus	1769.00	Premium	4	7	Asus ROG Strix GL702ZC-GC154T, 17.3" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/57
Asus ROG Strix GL702ZC-GC209T	Asus	1769.00	Premium	1	8	Asus ROG Strix GL702ZC-GC209T, 17.3" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/58
Asus ROG Strix SCAR Edition GL503VM-ED115T	Asus	1799.00	Premium	3	8	Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/59
